,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10
CO:HT29,841.482259568198,959.2048196219616,903.8835148314189,876.1797325897238,963.7407147345181,864.3639151248738,877.1851008048413,963.5660212637223,833.9863079277741,739.0050408589915,708.284201119155,798.389029398576,790.2837450144095,785.916334756442,0.0,780.5343617496928,951.1015047964125,902.5116630492929,900.6024011377052,954.8090616725418,928.5812386991242,1012.8003242974402,917.5950132438602,1020.4237362003099,994.0241953674971,998.6881269135027,921.947903334565,881.4947646963087,983.5386138159499,907.0380918489589,950.6537967725158,913.3523734194816,812.4656821398675,842.6743533506877,820.2337596886631,867.1785780766264,900.8396135206309,876.7752900880591,792.4758195781118,856.628670716198,928.9275884960032,829.8759364025447,825.8120147212679,857.0397725310071,868.6218035980907,911.3834613394079,898.8577208685476,860.3289593138197,883.4736693054301,854.5721050426345,868.2884918620076,892.6783451781499,896.2113129647497,848.8295039335048,924.968938131438,897.9454720711054,878.7544452183446,915.8433612654513
CO:KM12,821.560396051319,951.1503071123932,882.7992912944595,855.8367188658128,912.5260505317093,901.4049337950174,850.3382146969523,926.3890929323379,851.7062708804017,875.9612721422105,745.8114926796178,737.4497178709879,716.5022753753125,761.1107203745064,780.5343617496928,0.0,876.9297943450202,869.3626657419792,890.7362715085762,874.090134534191,908.3376281504582,944.8816414964365,953.9426652414705,985.2078871816854,897.0775952491512,957.9619522820311,892.7275739154694,838.6751840796289,909.026286218941,888.4325859641799,908.1474736418089,881.1791201140662,800.0809171908799,830.4617795678498,800.4863152353074,840.7444905790345,913.1903796536621,819.9653046678256,817.8900818410747,814.5650415117262,861.9547263336979,831.0247172629706,852.3192185267206,828.4108573974629,796.5303451218917,836.1156768001662,848.4217308243583,837.2065097847723,891.1079878050693,808.9127506023132,839.4812396438648,870.3341448305933,870.271615740741,880.653757414343,893.9614290560866,860.4116371615391,833.1913839646926,867.7288158313056
CO:SW-620,889.9505192009273,997.2133347644326,929.924259223298,980.1715794293362,1010.6671845088272,986.3446037800377,896.6366537310416,1003.5944143278198,907.470782092184,1047.8982609638208,951.840807269262,942.0894011461967,920.885549553255,962.8694093795897,951.1015047964125,876.9297943450202,0.0,749.8689241087403,835.4532112937264,574.0973851394903,877.1638858776621,949.3175442827335,1032.1133023268326,1091.0899351451285,1005.1200121806351,1041.8710747544533,973.68873939622,941.5389672281228,993.979809346749,954.882121945426,1003.7633630961035,954.6358537740974,893.0576753373771,952.2217320146603,890.3310189704728,899.5185664893193,984.373385804391,876.6227061952021,922.1252093311406,893.2824479071554,900.6746159301927,894.1146966972414,936.1794675819378,931.4548912405797,944.6576662929274,903.3900174094242,944.0521284542499,888.4956461491525,1016.2393151733503,906.3060541864432,921.5761594702847,971.8107943246978,957.1215420133432,973.3759075362408,951.3415220266589,904.3114034639837,939.5489941599639,971.7821834094306
LE:CCRF-CEM,872.8274847013009,989.8828369711237,926.4240549791441,981.6506683138355,1020.6559677124317,946.4385758304655,910.0119870309401,1013.9283990992659,902.1309982918227,977.7006256042793,903.9425759609952,920.6404388326638,913.3081254034697,941.8268726857395,902.5116630492929,869.3626657419792,749.8689241087403,0.0,788.3759821018145,765.9018816584797,836.1398396799427,949.629481965993,984.0677901089944,1074.6245758966243,1002.6654437557924,1027.6186966905573,949.7340425577047,917.9809309724251,987.988356010839,936.1844496374636,978.6423591169555,934.4680383389257,887.4480596840584,946.4092368785293,868.8857393058078,904.0059649587497,974.5846451232443,896.514577768259,940.0974066286959,878.4915730608916,910.8494616504969,883.0291718556077,914.0915049337236,932.0474845746863,960.8070686396933,919.6866927606378,976.6034724149818,887.5642374025668,1000.9751797851934,913.7745694223495,904.3980751295308,957.5411362557749,942.5721656000668,934.0170372739462,955.4532542871995,909.2376947690852,929.6673836803142,967.2524750798007
LE:HL-60(TB),874.4256734354266,967.4009238950523,915.2415384722221,969.7217104179941,1052.8508306716578,942.5475550172521,921.3310698891034,1032.7515627366533,851.8136267470717,989.0313019495389,919.025411250418,943.6351156919711,958.3536848643093,972.1409047015767,900.6024011377052,890.7362715085762,835.4532112937264,788.3759821018145,0.0,854.1102545216279,870.1299313614029,1027.8355039645205,1005.8248061074056,1120.5697821929698,1045.7259503832734,1040.5314825006496,957.2880433808834,928.1858935967516,1017.6060776243427,919.5573405557698,1008.5423055950603,929.5614030111188,841.8810768202361,912.6875448695464,864.1732140595426,871.865280916725,949.532187607666,888.9118543758992,910.7057337104013,871.1769052701064,886.4865497795216,858.8948350333702,896.893663467972,919.5834652379305,980.7640331715882,924.3601908109198,996.4106551026036,855.4564307824212,1007.9344555689125,908.4878312503699,925.4412693191287,950.2687236655745,937.8798700958455,922.2862290216632,947.7338114771468,900.836581085604,950.979293005899,981.0603316539713
LE:K-562,890.9178509593354,1005.2516885626205,917.9329301501278,976.3964174417068,996.1231896131122,975.1035548473815,889.8047976348522,998.3604794111192,898.3145834945576,1045.8056408534999,950.3088213401996,929.570150988079,908.8834628234796,959.2468268964984,954.8090616725418,874.090134534191,574.0973851394903,765.9018816584797,854.1102545216279,0.0,887.2313261196316,941.4317798157232,1028.7411812200387,1078.0304213300292,1002.5618810507408,1038.1244212636552,971.2821831100372,932.9288391313672,995.2380851007458,958.0194027445369,994.2749652817373,950.5714830400709,899.7331754775968,963.6206465643003,889.7517787388796,913.7444828205529,981.6236022651453,889.439257130581,943.2011822501072,901.570127000113,895.753248620958,904.1498556799089,937.9187893490563,937.8432850876527,955.7238715350788,902.9347905208879,953.9297213563483,888.8668004712517,1018.3384951812436,908.2137629407516,919.7990326750727,968.1577792374547,958.562416928601,964.9625266402836,950.3631217792495,914.6133257727007,942.02549864587,972.5286776717695
LE:MOLT-4,916.5976676208599,1001.0560425810338,950.1120343927869,986.9175225949733,1029.0655360077901,962.8947787759575,933.7231668594284,1019.2933814795423,917.4627911490471,1003.2799618825246,930.2503684734556,950.6580202154718,944.5840210071307,954.8317498056919,928.5812386991242,908.3376281504582,877.1638858776621,836.1398396799427,870.1299313614029,887.2313261196316,0.0,981.9004133744926,1002.2535979940408,1079.3241403864736,1011.401910042689,1031.4185721858994,955.8405917740675,932.5379072933174,994.3526321466646,944.3550357058513,986.9713401451942,948.6960645480721,901.1000929436194,947.9572015787422,911.3578190518804,929.3933911896511,972.6381348919031,922.4339345758051,935.1732576554999,891.005867269683,956.8782000531731,922.7194405646821,934.8315989781261,935.6327952460832,974.6599589005389,959.7507203003286,995.0132894172822,919.7603345676524,1009.3091739412661,932.747722460366,937.4014518369383,967.9767920058828,969.5978170880959,954.5304568959544,959.5804727587993,945.4355942416173,937.7144971530514,974.8581952355944
LE:RPMI-8226,945.9133305239968,1057.008692792543,980.7003808233173,1025.7393076771502,953.4219768308259,982.2154737403598,962.4590868535659,1002.2677484639519,1003.8058506872729,1085.9929454080263,951.5783784428899,909.0571422715956,904.7034078586198,965.5193142169655,1012.8003242974402,944.8816414964365,949.3175442827335,949.629481965993,1027.8355039645205,941.4317798157232,981.9004133744926,0.0,947.7856866713065,996.6285448641336,938.8030215359346,983.6690150487613,961.1307179650437,922.0907178840921,968.0760444779121,961.3243607087048,934.0503152908839,942.4518167704913,1008.7309284650688,983.3059294573587,952.9409096287135,982.1927298407375,1018.7953487060097,914.9090863850898,1015.3099368749424,956.1661644672438,1023.6249494311867,1024.1412233930434,1017.4713944278728,1006.8155758911362,973.290136151086,962.1613624002994,992.3242598213551,1004.8104270075028,982.3664834342629,962.729984891922,934.8296232699304,993.4662924805251,1018.7546746518514,1008.9593794434936,999.779300139286,976.0943440016443,947.3757603369429,1005.0446617086229
LE:SR,847.516034715568,908.2895474902263,869.0011946666127,993.5762499008316,838.8614972121441,787.0203627098856,877.1895939385051,905.0029851597178,872.8439080184957,949.9560870971877,912.6887213617796,886.1692089776083,948.6678177960924,976.3616910505041,917.5950132438602,953.9426652414705,1032.1133023268326,984.0677901089944,1005.8248061074056,1028.7411812200387,1002.2535979940408,947.7856866713065,0.0,933.5493615942332,920.1407336837121,865.0497165365698,878.1275925473475,835.3197370558178,927.221549507452,830.3013282832925,864.2333836551328,869.0013720017935,919.1370908156193,880.1153241462164,809.392443626082,891.3609055612656,854.5314999729384,870.6601325609206,921.2361533754522,920.9095084474911,983.6483700718464,969.3170023650672,900.1912132541619,974.1283373662835,944.844175864994,894.9393132771629,950.7205607269674,890.6025531122172,847.605720294525,911.6672441450334,841.5911774204859,896.7725433486464,919.9572378659782,829.3491994956046,929.1447106506068,855.4841710581209,886.2591024542425,897.9257607174437
ME:LOX IMVI,967.5990042052547,1034.5524706910714,1006.0678155397873,1015.4277869459748,950.225861371916,957.636761594395,955.3638502806143,924.4958803872518,992.3237040069133,1068.4939546258558,980.7350779563253,942.4230438476128,954.2979124303896,1031.1747464431037,1020.4237362003099,985.2078871816854,1091.0899351451285,1074.6245758966243,1120.5697821929698,1078.0304213300292,1079.3241403864736,996.6285448641336,933.5493615942332,0.0,780.8707114221917,845.8136074082753,762.074422713425,788.7575963716606,727.7794687802068,832.8279821932016,828.1714183893334,865.8340399014124,1012.4636482896561,954.6665403259927,951.4844011522207,981.393351743326,1005.1590727168516,928.1836418015565,1013.5738824520886,977.1930800133617,1032.823930702615,1039.2307543077236,1003.3507528790718,1005.0312870567761,990.8373043456733,994.4241045549933,1000.0242824441815,1001.459995211491,975.0903830266196,980.2686036816646,951.2336087087125,983.2790557003644,1000.8400937407533,973.0935078649943,1006.7054501039519,997.9176583566401,962.4164878076434,986.5725559283511
