,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10
CO:COLO 205,0.7486050434728962,0.8711998922864029,0.8069253076332298,0.7541232767038706,0.8335752752573485,0.7751873573694419,0.7939341689111242,0.8528301334459721,0.7870253734896566,0.6936643117010652,0.0,0.663934613054228,0.6246042310797565,0.6273329007369373,0.6320750500098562,0.6655645230947196,0.8494257317973514,0.806681199444775,0.8201411691219026,0.8480585827331814,0.8301583562720596,0.8491915394868479,0.8144862871240698,0.875211069887155,0.8424785836379135,0.8631030193638817,0.8137599378976659,0.7669931029923777,0.8381263764538597,0.8105167244817623,0.8283590405410663,0.8061275843180423,0.7346040155469393,0.7358272526794901,0.7354471876683971,0.7769800533399458,0.803121656522054,0.7407542962665452,0.7036837257254601,0.7415786667807065,0.8142394672415245,0.7685511601704844,0.7456863480683642,0.7483823761408386,0.7533157920114771,0.7956432906550888,0.7775124323204597,0.7879709516165117,0.7682802728263151,0.7472945894342693,0.7598961826846499,0.7727364729574212,0.8002225482999146,0.770305651942248,0.8250796928685755,0.7925578429556701,0.7573447237389703,0.8008801229057716
CO:HCC-2998,0.7165216557564804,0.8421417787926054,0.7809050184508277,0.7548923192050986,0.7656134612939679,0.7729866968045197,0.7581694909121718,0.815202441311335,0.7732248835606594,0.8145646818045733,0.663934613054228,0.0,0.6038405805240431,0.6918547482799975,0.7124848823213117,0.6581024489414565,0.8407235462859933,0.821582424818701,0.8421029468109205,0.8295513280475028,0.8483702089083837,0.8112454545156115,0.7908201908169998,0.8410212900826921,0.7965126417864432,0.823103995478938,0.7948172444456921,0.7264882938168473,0.8064194675801131,0.7868312151127721,0.792105331721426,0.7877020381792964,0.729350834103079,0.7126269039574217,0.7077865523148124,0.7461478599833645,0.786870159426751,0.6792618887119191,0.7195899804424323,0.7346605579743897,0.7898623473086253,0.7630876269470198,0.7605011821922505,0.760079027163224,0.6997037546434327,0.7269003327055292,0.7281162074568583,0.7619481550772612,0.7322086385715687,0.7002649583981798,0.7284371484675018,0.7745349346495866,0.7842089111212937,0.761056212530624,0.8118260964379325,0.755361140444976,0.7121414565577749,0.7653569890302739
CO:HCT-116,0.7328084619530005,0.878505671445438,0.7941025356563367,0.7292293841045755,0.7748098137137467,0.8216999184015239,0.7756950692948634,0.8380839966611399,0.8086218602795332,0.8122885494009391,0.6246042310797565,0.6038405805240431,0.0,0.6427742015580498,0.7052517010300009,0.6394088853378752,0.8218011623971065,0.8150390452401043,0.8552378442588364,0.8110904624295532,0.8429497529003213,0.8073601682245111,0.8465941460062728,0.8516184601755153,0.8000006591687581,0.8475387285163448,0.8157840945123866,0.7580221197252929,0.8090410170871876,0.8154326925284188,0.8157563735671505,0.8102322353264999,0.7579738650875993,0.7399121775243146,0.7349541231233292,0.7856319101102897,0.8175425057790933,0.7092169896434948,0.7235618226659575,0.7476265840168117,0.788861736061239,0.7727200732631644,0.763168647024439,0.7389993609800899,0.7199921395965015,0.7403523505953558,0.7233220912043217,0.7909157440798592,0.7770962282116651,0.713687609549395,0.7333837232479974,0.7926175068441464,0.8017476068623455,0.7920660568194416,0.823372805347635,0.7694370118761732,0.7234996896319134,0.7797842471552586
CO:HCT-15,0.7547013744777139,0.8922455898866308,0.8239640412454112,0.772232434177179,0.8569324177544502,0.8352022326621394,0.8154123026459181,0.8774712989781142,0.8258342360570822,0.7790306908573336,0.6273329007369373,0.6918547482799975,0.6427742015580498,0.0,0.7013542103717926,0.6792176020354598,0.8592676910270073,0.8404892650617188,0.8675416026292304,0.8560348870190304,0.8520948583291917,0.8616324744429852,0.871308245649594,0.920223588775597,0.8495753560669238,0.8962133334303591,0.8522347326913792,0.8111548293699263,0.8625907023981654,0.8578269920233842,0.8583493911568011,0.8423759076395502,0.7690766760836535,0.7702055664284894,0.748632991315706,0.7828110557826047,0.8217346944581085,0.7702825570223414,0.7199447893945395,0.7819931106554091,0.8413803308770108,0.7907726915740542,0.7876621273137204,0.751531463669709,0.7075910025972879,0.7994232808564488,0.7717178641749896,0.8118225837886868,0.8083874429642504,0.7617226105349427,0.765285126905066,0.7937170751242371,0.8089646501464653,0.7955037641798891,0.8063896952233679,0.8033131480046647,0.7517795988623308,0.7864567846970564
CO:HT29,0.7509414165366891,0.8559973995950392,0.806628493106879,0.7819055506521232,0.8600452466676951,0.7713610779627684,0.7828027444111322,0.8598893496646063,0.7442520057034305,0.6594904240704661,0.6320750500098562,0.7124848823213117,0.7052517010300009,0.7013542103717926,0.0,0.696551320723799,0.8487659759440366,0.8054042482593683,0.803700416921126,0.8520746113677704,0.8286688196087874,0.9038261966295188,0.8188646774394671,0.9106293534020945,0.8870703200850005,0.89123242727379,0.822749210254716,0.786648702030151,0.8777129541108559,0.8094436475646107,0.8483664398945988,0.8150785323088394,0.7250469315260861,0.752005244779636,0.7319791883763409,0.7738728920385007,0.8039121059981431,0.7824370280378241,0.707207915268986,0.7644581215100807,0.8289779032574658,0.7405838972192045,0.7369572407218968,0.7648249900633309,0.7751608310356062,0.8133214689725243,0.8021434587585177,0.7677602706992015,0.788414682730834,0.7626228358310945,0.7748633825934121,0.796628964446254,0.7997817960170694,0.7574981205296598,0.8254451912144745,0.8013293650608839,0.7842032323043823,0.8173014977015834
CO:KM12,0.7331630828412261,0.848809527284396,0.7878128656716137,0.7637513811865684,0.814341119163399,0.8044165995900372,0.7588444987627894,0.8267125418279461,0.7600653564060966,0.7817105958612794,0.6655645230947196,0.6581024489414565,0.6394088853378752,0.6792176020354598,0.696551320723799,0.0,0.7825749081229525,0.7758219787442644,0.7948958517919282,0.7800407867715164,0.8106033578496374,0.8432153503615729,0.8513014364661808,0.879202618915549,0.8005548690538117,0.8548882608696506,0.796672896326358,0.7484363735369792,0.8112179184771202,0.7928400355625382,0.8104336633677132,0.7863670198116418,0.7139947283114408,0.7411067055035387,0.7143565068020531,0.7502830291690415,0.8149339685624367,0.7317396182709325,0.7298876828897287,0.7269204064361006,0.7692111103039394,0.7416090728741983,0.760612352814584,0.7392764561045471,0.7108261866236223,0.7461522611861591,0.757134222523818,0.7471257239744125,0.7952275725846892,0.7218762842410941,0.7491557000591155,0.7766889297401345,0.7766331285835747,0.7858981844851215,0.7977739925367185,0.7678340526706889,0.7435426130571949,0.7743639259423442
CO:SW-620,0.7941946439598634,0.8899163181188707,0.8298673353509712,0.8747082020283713,0.9019225759692879,0.8802170283851027,0.8001613714554322,0.8956108136021411,0.8098297816993171,0.9351477057618581,0.8494257317973514,0.8407235462859933,0.8218011623971065,0.8592676910270073,0.8487659759440366,0.7825749081229525,0.0,0.6691853876705803,0.74556107488347,0.5123263131511311,0.7827838121433551,0.8471739639676046,0.92106115899982,0.9736920917230618,0.8969722619269654,0.9297690258213976,0.8689228951816801,0.8402323373253192,0.8870307098604047,0.8521398105852088,0.8957615840146299,0.8519200400941229,0.7969674798740793,0.8497656702388939,0.7945342031516175,0.8027331994701389,0.8784579072603219,0.7823008616916655,0.8229074386840322,0.7971680676226963,0.8037648616291978,0.7979107690620099,0.8354495029750154,0.8312332761800075,0.8430154741851239,0.8061880944544819,0.8424750903122941,0.7928963106700547,0.9068951629094947,0.8087903748508999,0.8224174648603749,0.8672470110900646,0.8541382761011489,0.8686437230453702,0.8489801680756294,0.8070103422691216,0.8384564790969592,0.8672214786192431
LE:CCRF-CEM,0.7789139940871563,0.8833745588194516,0.8267437420685395,0.8760281456035092,0.9108365975343317,0.8446047634608465,0.8120975609836941,0.904832894132657,0.805064541831871,0.8725031150589357,0.806681199444775,0.821582424818701,0.8150390452401043,0.8404892650617188,0.8054042482593683,0.7758219787442644,0.6691853876705803,0.0,0.703549207403177,0.6834932494427965,0.7461738242161109,0.847452338137796,0.8781851927000572,0.9589983533141236,0.894781797340245,0.917050158785733,0.8475456483388859,0.8192090716349002,0.881683918048667,0.8354539489770447,0.8733435210092312,0.8339222181327783,0.7919614412119081,0.8445785812878106,0.7753963680917639,0.8067377679858528,0.8697224042718422,0.8000524304820786,0.8389458841098792,0.7839686443638272,0.8128449259696728,0.7880180118078037,0.8157381355981549,0.8317621083362227,0.8574272516606518,0.8207312988226391,0.8715240121001263,0.7920651185735099,0.8932734004537154,0.8154553013504261,0.8070876883362068,0.8545127233235348,0.84115436680386,0.8335197433631153,0.8526494908843293,0.81140658013256,0.8296380988080393,0.8631791526511404
LE:HL-60(TB),0.7803402227429014,0.8633116288410312,0.8167644291470028,0.865382706037491,0.9395673945545943,0.841132404242308,0.8221987461468454,0.9216307445981141,0.7601611611193559,0.8826146462864559,0.8201411691219026,0.8421029468109205,0.8552378442588364,0.8675416026292304,0.803700416921126,0.7948958517919282,0.74556107488347,0.703549207403177,0.0,0.7622106789727302,0.7765066889975805,0.9172436382792983,0.8976012222451628,1.0,0.9332091289636366,0.9285735694784807,0.8542868624455124,0.828316012395301,0.908114866021886,0.8206158645079505,0.9000263273397662,0.8295435213253342,0.7512973223074638,0.8144852372186986,0.7711908957319412,0.7780553204017988,0.8473655123462449,0.7932677362013877,0.8127166627036276,0.7774410118084764,0.7911033867472812,0.7664804536782187,0.8003907277534643,0.8206391782565237,0.875236909612376,0.82490194318995,0.8892000042626662,0.7634120109042042,0.8994838800635615,0.8107373995686795,0.8258667010527697,0.8480227994421606,0.836966947529499,0.8230511331625746,0.8457606358279797,0.8039093998435822,0.8486569137575886,0.8755013273104896
LE:K-562,0.7950578938652062,0.8970897703446274,0.8191662355500262,0.8713392355903853,0.8889434691552061,0.8701854809426424,0.7940646015757202,0.8909400336115745,0.8016587612567458,0.9332802449900482,0.8480585827331814,0.8295513280475028,0.8110904624295532,0.8560348870190304,0.8520746113677704,0.7800407867715164,0.5123263131511311,0.6834932494427965,0.7622106789727302,0.0,0.7917680274969652,0.8401366829411809,0.9180518675122389,0.962037740496901,0.8946893776563509,0.9264255004556986,0.8667752767785913,0.8325486319161786,0.8881535991029954,0.8549395298431842,0.8872941079456276,0.8482929828607283,0.8029247172066403,0.8599380974547448,0.7940172873461068,0.815428451972302,0.8760039917764827,0.793738392079373,0.8417157032418365,0.8045640185261184,0.7993730179551666,0.8068661765182314,0.8370016791935411,0.8369342989530568,0.8528909905679544,0.8057818485465783,0.851289885302364,0.7932275299550982,0.9087684777545418,0.8104928201466983,0.8208315513158082,0.8639870489303729,0.8554241174098786,0.8611355954573746,0.8481070406158698,0.8162038101569993,0.8406665194936042,0.8678876524481306
